filename	description
0.png	She is a Westerner who appears to be in her 30s.It has white, red, and yellow skin.It has long brown straight hair.her skin is good.They are thin eyebrows with arches and have double eyelids and thick eyelashes.There's a fat under my eye.It has an iris mixed with brown and green.She has a high nose with a slight view of her nostrils.She has a smile that reveals her teeth.She has front cheekbones, round face, and small ears.She looks like 30-year-old.She has medium rounded arch eyebrows.She has black curly eyelashes.She has double eyelid.She has big prominent hazel eyes.She has bow shaped lips.She has refined nose.She has rectangular face shape and large cheekbone.She has curved forehead.She has a little bit a wrinkles around her eyes and warm ivory skin color.She has long straight light reddish-brown hair.She is wearing earrings.She is a middle-aged Western woman.She has eye wrinkles and smile lines.Her skin color is bright and there is no mole on the face.She is wearing makeup and long earrings.She has medium ears.Her face is round-shaped.She has round medium forehead and brown long straight hair.She parts her hair at the side.She has dark double outer eyelids, thin eyebrows, long green-brown eyes to the side.She has a broad nose tip and low, short and big nose.Nostrils are more than half visible.She is smiling slightly and appears 8 yellow upper teeth.She has a big mouth and thin and deep red lips.
1.png	Looking middle-aged, he has grayish brown hair, short hair, and gray hair.It has white and red skin.There are wrinkles on the wide forehead.It has dark brown eyebrows.The iris is mixed with green and brown and has wrinkles around the eyes.I gained weight under my eyes.He has a high nose.There are short beards around the mouth, sideburns, and chin.There are lip mountains and short lips up and down.He frowned and shut his mouth.It is in the form of an angled face with a large ear in front.He looks like 40-year-old.He has thick flat eyebrows.He has deep and close-set eyes.He has double eyelid and blue gray color iris.He has thin lips.He has tall beak nose.He has oblong face shape.He has broad forehead.He has cool sand skin color.He has some wrinkles on his forehead and around his eyes.He has short curly gray hair.He has the short, boxed bread style beard mark.He has narrow ears.He is a middle-aged Western man.He has a beard, some eye wrinkles and forehead wrinkles.His skin color is bright and dark circles are slightly visible.He has medium ears.His face is oval.He has square wide forehead and short curly black hair with gray hair.He has dark double outer eyelids connected to the bridge of his nose.He has gray eyes and the corners of his eyes are down.He has a narrow nose tip and high, long and small nose.Nostrils are a little visible.He is not smiling and teeth are not visible.He has a small mouth and thin and light red lips.
2.png	He looks like an Asian in his 30s.It's brown hair that naturally puts the gray bangs back.He has yellow skin.My eyebrows are thick.I wear thin glasses and have eyes with double eyelids.There are some wrinkles around my eyes.It has a high nose with few nostrils.I can see your front teeth a little bit.There's almost no color in my lips.It's an angled face with a pointed jaw.He looks like 30 years old.He has medium soft angled low arch eyebrows.He has shallow double eyelid and very dark brown color iris.He has almond shaped eyes.He has downward turned lips.He has medium soft nose.He has heart face shape.He has curved forehead.He has warm beige skin color.He has soft black hair with ivory bridges.He is wearing silver metal framed glasses.He is an oriental young man.He has slight wrinkles on his eyes and his skin color is bright.He is wearing rectangular glasses.His ears are not visible.His face is oval.His forehead is not visible.He has long dark brown straight hair.He parts his hair in the middle.He has light double eyelids, dark auburn pupils, and short side eyes.He has a broad nose tip and low, short and big nose.Nostrils are not visible.He is smiling slightly and appears 4 white upper teeth.He has a small mouth and medium thickness and light red lips.
3.png	He looks like a Westerner in his twenties.It has white and yellow skin.He has a perm hair.His eyebrows and thick small.The iris and black are brown.It has thick double eyelids.There are some wrinkles around the eyes.He shakes left and right and wears glasses with a large wide nose.So I can see my teeth and I smile.It is a little beard for the chin and a slightly skewed round face.He looks like 30-year-old.He has thick rounded low arch eyebrows.He has thick out line double eyelid and black color iris.He has almond shaped eyes.He has bow shaped lips.He has medium sized strong nose.He has a pear-shaped face.He has cheekbone.He has straight forehead.He has warm beige skin color.He has a lot of black curly hair with a bit of gray hair.He is wearing silver metal framed glasses.He has narrow ears.He is an oriental young man.He has eye wrinkles, smile lines and he has no dark circles.His skin color is bright and he is wearing rectangular glasses.He has big ears.His face is round-shaped.He has M-shaped medium forehead and short dark brown curly hair.He has double outer eyelids, dark auburn eyes, short eyelashes and long side eyes.He has a broad nose tip and low, short and big nose.Nostrils are more than half visible.He is smiling broadly and appears 14 yellow upper and lower teeth.He has a big mouth and medium thickness and deep red lips.
4.png	She looks like a Western in her thirties.It has red and white skin.She has slightly golden brown curls.She has thin eyebrows in a straight line.The double eyelids are thick and there is some flesh under the eyes.There are wrinkles around the eyes.The iris is blue.It is a high and thin nose with a slight view of the nostrils.She is smiling with her teeth visible.It has a sharp face with a slight front cheekbone and little square jaw.She looks like 50 years old.She has thin rounded low arch eyebrows.She has black curly eyelashes.She has blue color iris.She has thick out line double eyelid.She has big and deep-set eyes.She has bow shaped lips.She has medium sized long refined nose.She has triangle face shape.She has a bit of cheekbone.She has broad forehead.She has some wrinkles on his forehead and around his eyes.She has cool sand skin color.She has short medium ash blonde hair with bangs swept to the side.She is wearing earrings.She has sticking out ears.She is a middle-aged Western woman.She has eye wrinkles and smile lines.Her skin color is bright.Her makeup is light and she is wearing earrings.She has medium ears.Her face is round-shaped.She has round medium forehead and short blonde hair.She parts her hair at the side.She has dark double outer eyelids, blue eyes and thin eyebrows, with narrow eyebrows.She has a narrow nose tip and high, medium length and big nose.Nostrils are more than half visible.She is smiling broadly and appears 7 ivory upper teeth.She has a big mouth and medium thickness and deep red lips.
5.png	She looks like a Westerner in her twenties.It has yellow and red skin.It is dark brown, curly, and long hair with bangs.She has thin eyebrows with a slight angle.My double eyelids are thick.Her iris is khaki.She has a high nose with almost no nostrils visible.The lips are pink and smile so that the teeth can be seen slightly.She has large ears and a round face.She is in her late 20s.She has medium size of rounded-arch eyebrows, and its color is dark brown.She has between amber and light brown color iris.She has a bit of close-set eyes.Also, her eyes are large, rounded that stand out.She has black and thick under lashes.She has deep set eyes.Lips are bow shaped and have coral color.She has medium size of bulb nose.The shape of face is rectangle, and the forehead is broad and curved.She has a bit of wrinkles around her eyes.Her skin tone is warm sand, and her skin is spotless.She has medium length, slightly curly golden brown color hair.She has square ear, and she is wearing a small ring earring.Her left canine is sticking out.She is an oriental young woman.She has slight wrinkles on her eyes.Her skin color is not so bright or dark and her makeup looks light.She is wearing earrings.She has medium ears.Her face is square-shaped.Her forehead is not visible.She has long brown curly hair with bangs.She parts her hair in the middle.She has dark double outer eyelids, brown pupils, thin brown eyebrows and short eyelashes.She has a narrow nose tip and low, long and small nose.Nostrils are not visible.She is smiling slightly and appears 6 ivory upper teeth.She has a medium size mouth and thin and deep red lips.
6.png	He looks like a Western child.It has white and red skin.It has gold short hair without bangs.He has a small amount of eyebrows, thin, and straight shape.He has thick double eyelids.His iris color is mixed with green and blue.His nose is small.He has a toothy smile.He has thin pink lips.It has a round face with large ears and a slight square jaw.He is a teenager who looks like 7 years old.He has thick flat eyebrow of medium golden blonde color.He has blue gray with brown spots iris with parallel crease.He has almond shaped eyes.He has black eyelashes.He has thin lips, and the color is pink.His nose is small and soft type.He has a square face shape with a broad and straight forehead.He has cool ivory skin color and red cheeks.His hair is up to the shoulder line and is medium golden blonde in mess.And his front hair is frizzy.He has a long streak.His teeth are not fully grown and are sloppy.He has pointed ear.She is a Western child.Her skin is bright and white and there are no wrinkles.She has big ears.Her face is square-shaped.She has square wide forehead and short blonde curly hair.She parts her hair at the side.She has light brown eyebrows, dark double outer eyelids, gray-blue eyes and short eyelashes.She has a broad nose tip and low, short and small nose.Nostrils are more than half visible.She is smiling broadly and appears 6 white upper teeth.She has a medium size mouth and thin and deep red lips.
7.png	She appears to be a middle-aged Westerner.She has permed hair without red bangs.She has red and white skin.Her eyebrows are angled and thin.She has thick double eyelids and brown iris.There are wrinkles around the eyes.She has a thin, high nose with few nostrils visible.She is smiling with her teeth visible.It has thin pink lips.It is a round face with few square jaws.She is middle aged who looks like 50s.She has thin, soft angled - high arch eyebrows.And its color is similar with hair color.Her iris color is between amber and light brown.She has downturned eyes with wrinkle around her eyes.She has big eyes in up and down direction.Her eyelash color is long and black.She has thin lips, and its color is light pink.She has tall perky nose.Her face shape is rectangle, and she has raised cheekbone.She has broad and straight forehead.Her skin color is warm sand.She has a dimple on her right cheek.She has curly hair up to the shoulder line and the color is medium golden mahogany brown.She has white and in ordered teeth.She is a middle-aged Western woman.She has eye wrinkles and smile lines.The wrinkles on her forehead are slightly visible and her skin color is neither bright nor dark.She is wearing makeup.Her ears are not visible.Her face is square-shaped.She has square wide forehead and short blonde curly hair.She parts her hair at the side.She has thin eyebrows like seagulls, dark double outer eyelids and light brown eyes.She has a medium width nose tip and high, long and big nose.Nostrils are not visible.She is smiling broadly and appears 10 yellow upper teeth.She has a big mouth and thin and deep red lips.
8.png	He appears to be a middle-aged Westerner.It is short grayish brown hair with many gray hairs.It has red and white skin.The forehead is wide and wrinkled.He has thick double eyelids and khaki irises.He has round brown eyebrows.There are wrinkles around the eyes.The nostrils are slightly visible and have a thin and high nose.He is smiling with his mouth closed.There is a short beard around the chin.It has a sharp face with large ears and a slight square jaw.He is old man who appears to be 60s.He has drooping downward eyebrows with little charcoal and a light beige color.His iris color is hazel.He has deep set eyes, so the lower part of his eyebrows is shadowed.He has double eyelid.He has many wrinkles forehead and around his eyes.He has small and thin lips, and he is smiling a little.He has tall bulb nose.He has oblong face shape.And he has broad forehead and straight hair line.His skin color is cool ivory.He has medium gray hair.He has light stubbled beard mark.His ears shape is narrow ear.He is a middle-aged Western man.He has many wrinkles on his face overall.His skin color is bright and freckle is visible.He has medium ears.His face is egg-shaped.He has square wide forehead and short black hair with gray hair.He has dark double eyelids, drooping eyebrows, gray pupils, and short eyes.He has a narrow nose tip and high, short and medium size nose.Nostrils are more than half visible.He is not smiling and teeth are not visible.He has a medium size mouth and thin and light red lips.
9.png	She looks like a teenager Westerner.She has white and red skin.It is a gold wavy long hair without bangs.It is a thin eyebrow with a slight angle.The double eyelids are thick and have many eyelashes.She has a thin nose and a high nose bridge.She smiles with her pink thin lips showing her teeth.It is a round small face with a square jaw.She is middle aged who looks like in his mid-20s.She has dark brown medium rounded low arch eyebrows.She has dark gray with brown spots.She has thick black eyelashes, especially the under lash.She has prominent eyes.She has very thick and high double eyelids.She is smiling a little with a bow shaped pink lips.She has small dainty nose.She has a rectangular face shape and a pointed chin.She has broad and curved forehead.Her skin color is warm beige.And she has clean skin.She has a little wavy hair up to shoulder line and the color is medium ash blonde.She is wearing a small cubic earring.She is a Western young woman.She has a slight dimple next to her mouth and her skin color is bright.Her makeup is light and she is wearing earrings.She has medium ears.Her face is square-shaped.She has round wide forehead and long blonde curly hair.She parts her hair at the side.She has thin round eyebrows, dark double eyelids, dark auburn eyes, and thick eyelashes.She has a narrow nose tip and medium height, short and small nose.Nostrils are more than half visible.She is smiling broadly and appears 8 ivory upper teeth.She has a medium size mouth and medium thickness and deep red lips.
